,УК,КоАП,ГК,ТК,НК
УК,1.0,0.05263157894736842,0.0,0.0,0.0
КоАП,0.05263157894736842,1.0,0.034482758620689655,0.034482758620689655,0.07142857142857142
ГК,0.0,0.034482758620689655,1.0,0.1111111111111111,0.1111111111111111
ТК,0.0,0.034482758620689655,0.1111111111111111,1.0,0.09090909090909091
НК,0.0,0.07142857142857142,0.1111111111111111,0.09090909090909091,1.0
