code_short,year,penalty_type,mean_value,median_value,count
УК,2016,restriction_freedom,2.869747899159664,2.0,1666
УК,2016,warning,,,0
УК,2017,arrest_days,70.20196506550218,75.0,916
УК,2017,community_service_hours,212.67605633802816,240.0,852
УК,2017,confiscation,,,0
УК,2017,death_penalty_mention,,,0
УК,2017,deportation,,,0
УК,2017,deprivation_right,,,0
УК,2017,fine_mrp,1598.6062008329477,1000.0,2161
УК,2017,imprisonment_years,8.281652360515022,7.0,1864
УК,2017,life_imprisonment,,,0
УК,2017,restriction_freedom,2.874670879410216,2.0,1899
УК,2017,warning,,,0
УК,2018,arrest_days,56.529709228824274,50.0,791
УК,2018,community_service_hours,359.83425414364643,240.0,1086
УК,2018,confiscation,,,0
УК,2018,death_penalty_mention,,,0
УК,2018,deportation,,,0
УК,2018,deprivation_right,,,0
УК,2018,fine_mrp,1575.9399367755532,1000.0,1898
УК,2018,imprisonment_years,8.335439039797853,7.0,1583
УК,2018,life_imprisonment,,,0
УК,2018,restriction_freedom,2.8872901678657072,2.0,1668
УК,2018,warning,,,0
УК,2019,arrest_days,40.1651893634166,40.0,1241
УК,2019,community_service_hours,455.8997534921939,600.0,2434
УК,2019,confiscation,,,0
УК,2019,death_penalty_mention,,,0
УК,2019,deportation,,,0
УК,2019,deprivation_right,,,0
УК,2019,fine_mrp,1537.3539176626825,1000.0,3012
УК,2019,imprisonment_years,8.419274092615769,7.0,2397
УК,2019,life_imprisonment,,,0
УК,2019,restriction_freedom,2.8954545454545455,2.0,2640
УК,2019,warning,,,0
УК,2020,arrest_days,40.2085036794767,40.0,1223
УК,2020,community_service_hours,465.3636363636364,600.0,2420
УК,2020,confiscation,,,0
УК,2020,death_penalty_mention,,,0
УК,2020,deportation,,,0
УК,2020,deprivation_right,,,0
УК,2020,fine_mrp,1624.647349357919,1000.0,3037
УК,2020,imprisonment_years,8.509859154929577,7.0,2485
УК,2020,life_imprisonment,,,0
УК,2020,restriction_freedom,2.985327313769752,3.0,2658
УК,2020,warning,,,0
УК,2021,arrest_days,40.328425821064556,40.0,883
УК,2021,community_service_hours,471.05561861521,600.0,1762
УК,2021,confiscation,,,0
УК,2021,death_penalty_mention,,,0
УК,2021,deportation,,,0
УК,2021,deprivation_right,,,0
УК,2021,fine_mrp,1666.4418394950405,2000.0,2218
УК,2021,imprisonment_years,8.52,7.0,1850
УК,2021,life_imprisonment,,,0
УК,2021,restriction_freedom,3.0200411099691675,3.0,1946
УК,2021,suspension,,,0
УК,2021,warning,,,0
УК,2022,arrest_days,40.37203335471456,40.0,1559
УК,2022,community_service_hours,470.9055627425615,600.0,3092
УК,2022,confiscation,,,0
УК,2022,death_penalty_mention,,,0
УК,2022,deportation,,,0
УК,2022,deprivation_right,,,0
УК,2022,fine_mrp,1666.5685721609843,2000.0,3901
УК,2022,imprisonment_years,8.537042729787888,8.0,3253
УК,2022,life_imprisonment,,,0
УК,2022,restriction_freedom,3.0400115975645114,3.0,3449
УК,2022,suspension,,,0
УК,2022,warning,,,0
УК,2023,arrest_days,40.38202247191011,40.0,1335
УК,2023,community_service_hours,474.2803315749812,600.0,2654
УК,2023,confiscation,,,0
УК,2023,death_penalty_mention,,,0
УК,2023,deportation,,,0
УК,2023,deprivation_right,,,0
УК,2023,fine_mrp,1665.4423880597014,2000.0,3350
УК,2023,imprisonment_years,8.577264653641208,8.0,2815
УК,2023,life_imprisonment,,,0
УК,2023,restriction_freedom,3.07694881231181,3.0,2989
УК,2023,suspension,,,0
УК,2023,warning,,,0
УК,2024,arrest_days,40.46440677966102,40.0,1475
УК,2024,community_service_hours,469.8519793459553,600.0,2905
УК,2024,confiscation,,,0
УК,2024,death_penalty_mention,,,0
УК,2024,deportation,,,0
УК,2024,deprivation_right,,,0
УК,2024,fine_mrp,1640.2249724972498,2000.0,3636
УК,2024,imprisonment_years,8.525773195876289,7.0,3104
УК,2024,life_imprisonment,,,0
УК,2024,restriction_freedom,3.062015503875969,3.0,3225
УК,2024,suspension,,,0
