,Code Name,Articles,Sections,Chapters,Total Words,Avg Words/Article,Vocabulary Size,Type-Token Ratio,Avg Sentence Length,Avg Word Length
УК,Criminal Code,502,6,17,88791,176.87450199203187,2790,0.047588183120693184,21.943915873810717,8.074350139864912
КоАП,Administrative Code,1066,5,50,175126,164.28330206378988,5112,0.04142592037341675,22.0185305170403,8.692652409623909
ГК,Civil Code,425,3,22,45757,107.6635294117647,2641,0.08590852904820766,14.786800388223876,8.793897599375446
ТК,Labor Code,221,4,18,42929,194.24886877828055,2386,0.07828083989501312,16.615652847733436,8.786450131233595
НК,Tax Code,848,22,95,278677,328.6285377358491,5481,0.02778622703491909,21.763859400802076,8.555602871395546
