,УК,КоАП,ГК,ТК,НК
УК,0.9999999999999998,0.45086473267479765,0.30673442264282746,0.23379837114590882,0.26201426109699194
КоАП,0.45086473267479765,1.0,0.3930639603335788,0.2637367404524995,0.38821532547689924
ГК,0.30673442264282746,0.3930639603335788,1.0000000000000002,0.4032900064218659,0.49923709176160497
ТК,0.23379837114590882,0.2637367404524995,0.4032900064218659,1.0000000000000004,0.35974504601317814
НК,0.26201426109699194,0.38821532547689924,0.49923709176160497,0.35974504601317814,1.0000000000000002
