Vectorizer,Features,Accuracy,Macro F1
TF-IDF (1-gram),5000,0.9797639123102867,0.979088565691054
TF-IDF (1-2-gram),5000,0.9814502529510961,0.9803175029337705
TF-IDF (1-3-gram),5000,0.9831365935919055,0.9813914045145576
Count (1-2-gram),5000,0.984822934232715,0.9820585659426826
