Model,Accuracy,Macro F1
Logistic Regression,0.8870056497175142,0.8866323927388899
Random Forest,0.9491525423728814,0.949545151427457
Linear SVM,0.9209039548022598,0.921467296654703
Naive Bayes,0.8531073446327684,0.8561406202938532
