Model,Accuracy,Macro F1,Weighted F1,Precision,Recall
Logistic Regression,0.9814502529510961,0.9803175029337705,0.9814807215532211,0.984979193094685,0.9759885355106869
Random Forest,0.9763912310286678,0.9734104770103725,0.9764602031818189,0.97703081232493,0.9701178414228611
Linear SVM,0.984822934232715,0.9841020183429832,0.9848443335819906,0.9850468803120911,0.9832790998722037
Naive Bayes,0.9730185497470489,0.9698233769678734,0.9729493721721849,0.9785833382164701,0.9619794832227269
