code,nodes,edges,density,avg_in_degree,avg_out_degree,max_in_degree,max_out_degree,top_cited_article,top_citing_article
УК,501,218,0.0008702594810379242,0.4351297405189621,0.4351297405189621,3,140,z170,z3002
КоАП,1062,1758,0.0015601953172840887,1.655367231638418,1.655367231638418,14,214,z2449,z2792
ГК,424,48,0.00026763013515321824,0.11320754716981132,0.11320754716981132,4,5,z458,z508
ТК,221,20,0.00041135335252982314,0.09049773755656108,0.09049773755656108,3,5,z109,z138
НК,848,669,0.0009314227796217505,0.7889150943396226,0.7889150943396226,9,12,z2051,z11564
