,УК,КоАП,ГК,ТК,НК
УК,0.873353898525238,0.8555893301963806,0.8339754939079285,0.8358810544013977,0.8296910524368286
КоАП,0.8555893301963806,0.858446478843689,0.8337254524230957,0.8328860402107239,0.8344733119010925
ГК,0.8339754939079285,0.8337254524230957,0.847818911075592,0.831346869468689,0.8318029046058655
ТК,0.8358810544013977,0.8328860402107239,0.8313467502593994,0.8593015670776367,0.8286376595497131
НК,0.8296910524368286,0.8344734311103821,0.8318029046058655,0.8286376595497131,0.8518913388252258
