,УК,КоАП,ГК,ТК,НК
УК,1.0,0.20689655172413793,0.10144927536231885,0.11475409836065574,0.11290322580645161
КоАП,0.20689655172413793,1.0,0.08333333333333333,0.09375,0.12698412698412698
ГК,0.10144927536231885,0.08333333333333333,1.0,0.15151515151515152,0.1
ТК,0.11475409836065574,0.09375,0.15151515151515152,1.0,0.13114754098360656
НК,0.11290322580645161,0.12698412698412698,0.1,0.13114754098360656,1.0
